,ADY,0.004,0.008,0.013,0.021,0.032,0.042,0.053,0.063,0.074,0.084,0.126,0.168,0.21,0.252,0.294,0.336,0.42
,IDY,0.003,0.006,0.01,0.016,0.024,0.032,0.04,0.048,0.056,0.064,0.096,0.128,0.16,0.192,0.224,0.256,0.32
,CY,0.01,0.02,0.03,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1
Celsius,Fahrenheit,,,,,,,,,,,,,,,,,
1.67,35,,,,,,,,,,,167,136,115,101,90,82,70
2.22,36,,,,,,,,,,,149,121,103,90,80,73,62
2.78,37,,,,,,,,,,,133,108,92,80,72,65,55
3.33,38,,,,,,,,,,161,120,97,82,72,65,59,50
3.89,39,,,,,,,,,159,145,108,87,74,65,58,53,45
4.44,40,,,,,,,,161,144,130,97,79,67,59,52,48,40
5,41,,,,,,,166,145,130,118,88,71,61,53,47,43,37
5.56,42,,,,,,,151,132,118,107,80,65,55,48,43,39,33
6.11,43,,,,,,161,137,120,107,97,72,59,50,44,39,35,30
6.67,44,,,,,,147,125,109,98,88,66,53,45,40,36,32,27
7.22,45,,,,,165,134,114,100,89,81,60,49,41,36,32,29,25
7.78,46,,,,,151,122,104,91,81,74,55,45,38,33,30,27,23
8.33,47,,,,,138,112,95,83,74,67,50,41,35,30,27,25,21
8.89,48,,,,,126,102,87,76,68,62,46,37,32,28,25,23,19
9.44,49,,,,156,116,94,80,70,63,57,42,34,29,26,23,21,18
10,50,,,,143,107,86,74,64,58,52,39,32,27,23,21,19,16
10.56,51,,,,132,98,80,68,59,53,48,36,29,25,22,19,18,15
11.11,52,,,,122,90,73,62,55,49,44,33,27,23,20,18,16,14
11.67,53,,,163,112,84,68,58,50,45,41,30,25,21,18,16,15,13
12.22,54,,,150,104,77,63,53,47,42,38,28,23,19,17,15,14,12
12.78,55,,,139,96,71,58,49,43,39,35,26,21,18,16,14,13,11
13.33,56,,,129,89,66,54,46,40,36,32,24,20,17,15,13,12,10
13.89,57,,161,120,82,61,50,42,37,33,30,22,18,15,14,12,11,9
14.44,58,,149,111,77,57,46,39,34,31,28,21,17,14,13,11,10,9
15,59,,139,103,71,53,43,37,32,29,26,19,16,13,12,10,9,8
15.56,60,,129,96,66,49,40,34,30,27,24,18,15,12,11,10,9,7
16.11,61,,120,90,62,46,37,32,28,25,22,17,14,12,10,9,8,7
16.67,62,,112,83,58,43,35,30,26,23,21,16,13,11,9,8,8,6
17.22,63,,105,78,54,40,32,28,24,22,20,15,12,10,9,8,7,6
17.78,64,162,98,73,50,37,30,26,23,20,18,14,11,9,8,7,7,6
18.33,65,152,92,68,47,35,28,24,21,19,17,13,10,9,8,7,6,5
18.89,66,142,86,64,44,33,27,23,20,18,16,12,10,8,7,6,6,5
19.44,67,133,80,60,41,31,25,21,19,17,15,11,9,8,7,6,5,5
20,68,120,73,54,37,28,22,19,17,15,14,10,8,7,6,5,5,4
20.56,69,109,66,49,34,25,20,17,15,14,12,9,7,6,6,5,4,4
21.11,70,99,60,45,31,23,19,16,14,12,11,8,7,6,5,4,4,3
21.67,71,90,55,41,28,21,17,14,13,11,10,8,6,5,5,4,4,3
22.22,72,83,50,37,26,19,15,13,12,10,9,7,6,5,4,4,3,3
22.78,73,76,46,34,24,18,14,12,11,9,9,6,5,4,4,3,3,3
23.33,74,70,42,32,22,16,13,11,10,9,8,6,5,4,4,3,3,2
23.89,75,65,39,29,20,15,12,10,9,8,7,5,4,4,3,3,3,2
24.44,76,60,36,27,19,14,11,10,8,7,7,5,4,3,3,3,2,2
25,77,56,34,25,17,13,10,9,8,7,6,5,4,3,3,3,2,2
25.56,78,52,31,23,16,12,10,8,7,6,6,4,4,3,3,2,2,2
26.11,79,48,29,22,15,11,9,8,7,6,5,4,3,3,2,2,2,2
26.67,80,45,27,20,14,10,8,7,6,6,5,4,3,3,2,2,2,2
27.22,81,42,26,19,13,10,8,7,6,5,5,4,3,2,2,2,2,2
27.78,82,40,24,18,12,9,7,6,6,5,5,3,3,2,2,2,2,2
28.33,83,38,23,17,12,9,7,6,5,5,4,3,3,2,2,2,2,2
28.89,84,36,21,16,11,8,7,6,5,4,4,3,2,2,2,2,2,2
29.44,85,34,20,15,10,8,6,5,5,4,4,3,2,2,2,2,2,2
30,86,32,19,14,10,7,6,5,4,4,4,3,2,2,2,2,2,2
30.56,87,30,18,14,9,7,6,5,4,4,3,3,2,2,2,2,2,2
31.11,88,29,18,13,9,7,5,5,4,4,3,2,2,2,2,2,2,2
31.67,89,28,17,13,9,6,5,4,4,3,3,2,2,2,2,2,2,2
32.22,90,27,16,12,8,6,5,4,4,3,3,2,2,2,2,2,2,2
32.78,91,26,16,12,8,6,5,4,4,3,3,2,2,2,2,2,2,2
33.33,92,25,15,11,8,6,5,4,3,3,3,2,2,2,2,2,2,2
33.89,93,24,15,11,7,6,5,4,3,3,3,2,2,2,2,2,2,2
34.44,94,23,14,10,7,5,4,4,3,3,3,2,2,2,2,2,2,2
35,95,22,13,10,7,5,4,4,3,3,2,2,2,2,2,2,2,2
